Date,Close,Volume,inflation
1/1/2018,11027.7002,4560600,3.02
2/1/2018,10492.84961,4389900,2.74
3/1/2018,10113.7002,4389100,2.74
4/1/2018,10739.34961,4499400,3.62
5/1/2018,10736.15039,5142500,4.78
6/1/2018,10714.29981,4683800,5.68
7/1/2018,11356.5,4648500,5.27
8/1/2018,11680.5,4923000,4.62
9/1/2018,10930.4502,5151800,5.22
10/1/2018,10386.59961,7030800,5.54
11/1/2018,10876.75,5318400,4.47
12/1/2018,10862.54981,6533100,3.46
1/1/2019,10830.9502,7273800,2.76
2/1/2019,10792.5,7461400,2.93
3/1/2019,11623.90039,6857200,3.1
4/1/2019,11748.15039,6516900,3.24
5/1/2019,11922.79981,8645600,2.79
6/1/2019,11788.84961,6788000,2.02
7/1/2019,11118,9988500,1.17
8/1/2019,11023.25,11153100,1.17
9/1/2019,11474.4502,12210000,0.33
10/1/2019,11877.4502,15461000,0
11/1/2019,12056.04981,13178000,0.58
12/1/2019,12168.4502,12549800,2.76
1/1/2020,11962.09961,10965400,3.52
2/1/2020,11201.75,10198200,2.26
3/1/2020,8597.75,21303000,0.42
4/1/2020,9859.900391,12736300,-1.57
5/1/2020,9580.299805,13675900,-3.37
6/1/2020,10302.09961,16778800,-1.81
7/1/2020,11073.4502,14640200,-0.25
8/1/2020,11387.5,14035500,0.41
9/1/2020,11247.54981,12928400,1.32
10/1/2020,11642.40039,11602500,1.31
11/1/2020,12968.9502,13004600,2.29
12/1/2020,13981.75,12077600,1.95
1/1/2021,13634.59961,13119900,2.51
2/1/2021,14529.15039,14313900,4.83
3/1/2021,14690.7002,9886800,7.89
4/1/2021,14631.09961,9344700,10.74
5/1/2021,15582.79981,9859900,13.11
6/1/2021,15721.5,8079100,12.07
7/1/2021,15763.04981,5756800,11.57
8/1/2021,17132.19922,6349900,11.64
9/1/2021,17618.15039,6955600,11.8
10/1/2021,17671.65039,7651200,13.83
11/1/2021,16983.19922,5853100,14.87
12/1/2021,17354.05078,5499300,14.27
1/1/2022,17339.84961,5435500,13.68
2/1/2022,16793.90039,5620100,13.43
3/1/2022,17464.75,7959500,14.63
4/1/2022,17102.55078,5658100,15.38
5/1/2022,16584.55078,6343200,15.88
6/1/2022,15780.25,5514100,15.18
